month,vessels
1993-01,3435
1993-02,3286
1993-03,3677
1993-04,3670
1993-05,3790
1993-06,3672
1993-07,3763
1993-08,3768
1993-09,3693
1993-10,3909
1993-11,3686
1993-12,3688
1994-01,3832
1994-02,3303
1994-03,3839
1994-04,3905
1994-05,4007
1994-06,3967
1994-07,4112
1994-08,4097
1994-09,4142
1994-10,4184
1994-11,4038
1994-12,4074
1995-01,3988
1995-02,3321
1995-03,3885
1995-04,3818
1995-05,3896
1995-06,3946
1995-07,4090
1995-08,4090
1995-09,4084
1995-10,4205
1995-11,4142
1995-12,4261
1996-01,4361
1996-02,3735
1996-03,4502
1996-04,4374
1996-05,4613
1996-06,4521
1996-07,4752
1996-08,4726
1996-09,4548
1996-10,4670
1996-11,4645
1996-12,4692
1997-01,4867
1997-02,3865
1997-03,4854
1997-04,4749
1997-05,4997
1997-06,4890
1997-07,5177
1997-08,5008
1997-09,4917
1997-10,5014
1997-11,4690
1997-12,4724
1998-01,4478
1998-02,4327
1998-03,4863
1998-04,4578
1998-05,4763
1998-06,4776
1998-07,4943
1998-08,4823
1998-09,4842
1998-10,4891
1998-11,4833
1998-12,4876
1999-01,4658
1999-02,4115
1999-03,4874
1999-04,4689
1999-05,4683
1999-06,4619
1999-07,4775
1999-08,4650
1999-09,4564
1999-10,4636
1999-11,4442
1999-12,4496
2000-01,4270
2000-02,3888
2000-03,4706
2000-04,4519
2000-05,4630
2000-06,4721
2000-07,4783
2000-08,4629
2000-09,4551
2000-10,4674
2000-11,4630
2000-12,4465
2001-01,4229
2001-02,4132
2001-03,4691
2001-04,4473
2001-05,4671
2001-06,4519
2001-07,4827
2001-08,4739
2001-09,4547
2001-10,4753
2001-11,4477
2001-12,4352
2002-01,4513
2002-02,3863
2002-03,4592
2002-04,4420
2002-05,4521
2002-06,4444
2002-07,4556
2002-08,4477
2002-09,4264
2002-10,4523
2002-11,4256
2002-12,4195
2003-01,4264
2003-02,3549
2003-03,4353
2003-04,4406
2003-05,4509
2003-06,4332
2003-07,4493
2003-08,4412
2003-09,4304
2003-10,4496
2003-11,4478
2003-12,4586
2004-01,4367
2004-02,4319
2004-03,4810
2004-04,4605
2004-05,4614
2004-06,4532
2004-07,4688
2004-08,4576
2004-09,4696
2004-10,4667
2004-11,4324
2004-12,4715
2005-01,4604
2005-02,3981
2005-03,4725
2005-04,4580
2005-05,4677
2005-06,4543
2005-07,4551
2005-08,4566
2005-09,4487
2005-10,4597
2005-11,4285
2005-12,4629
2006-01,4327
2006-02,4094
2006-03,4711
2006-04,4347
2006-05,4569
2006-06,4467
2006-07,4586
2006-08,4711
2006-09,4738
2006-10,4533
2006-11,4640
2006-12,4591
2007-01,4601
2007-02,4033
2007-03,4508
2007-04,4316
2007-05,4534
2007-06,4557
2007-07,4720
2007-08,4768
2007-09,4712
2007-10,4797
2007-11,4626
2007-12,4672
2008-01,4823
2008-02,4209
2008-03,4756
2008-04,4780
2008-05,4909
2008-06,4801
2008-07,5078
2008-08,4845
2008-09,4660
2008-10,4687
2008-11,4583
2008-12,4598
2009-01,4357
2009-02,4055
2009-03,4594
2009-04,4343
2009-05,4576
2009-06,4534
2009-07,4746
2009-08,4570
2009-09,4349
2009-10,4562
2009-11,4226
2009-12,4464
2010-01,4436
2010-02,3929
2010-03,4496
2010-04,4360
2010-05,4421
2010-06,4408
2010-07,4520
2010-08,4484
2010-09,4263
2010-10,4413
2010-11,4307
2010-12,4511
2011-01,4461
2011-02,3764
2011-03,4438
2011-04,4236
2011-05,4318
2011-06,4255
2011-07,4537
2011-08,4426
2011-09,4240
2011-10,4397
2011-11,4165
2011-12,4278
2012-01,4106
2012-02,4019
2012-03,4317
2012-04,4144
2012-05,4343
2012-06,4275
2012-07,4352
2012-08,4231
2012-09,4274
2012-10,4210
2012-11,4147
2012-12,4144
2013-01,4166
2013-02,3767
2013-03,4237
2013-04,4211
2013-05,4262
2013-06,4142
2013-07,4432
2013-08,4183
2013-09,4253
2013-10,4302
2013-11,4117
2013-12,4216
2014-01,4092
2014-02,3731
2014-03,4321
2014-04,4199
2014-05,4288
2014-06,4174
2014-07,4206
2014-08,4254
2014-09,4136
2014-10,4220
2014-11,4069
2014-12,4200
2015-01,4314
2015-02,3758
2015-03,4208
2015-04,4132
2015-05,4174
2015-06,4084
2015-07,4115
2015-08,4109
2015-09,3970
2015-10,4026
2015-11,3915
2015-12,4037
2016-01,4134
2016-02,3730
2016-03,4123
2016-04,4019
2016-05,4094
2016-06,4066
2016-07,3918
2016-08,4242
2016-09,4231
2016-10,4330
2016-11,4387
2016-12,4556
2017-01,4175
2017-02,3826
2017-03,4550
2017-04,4685
2017-05,4983
2017-06,4684
2017-07,4180
2017-08,4266
2017-09,4072
2017-10,4848
2017-11,4848
2017-12,5003
2018-01,4942
2018-02,4156
2018-03,4701
2018-04,4479
2018-05,4485
2018-06,3883
2018-07,3974
2018-08,3938
2018-09,3814
2018-10,3900
2018-11,3691
2018-12,3816
2019-01,3842
2019-02,3291
2019-03,3835
2019-04,3720
2019-05,3877
2019-06,3569
2019-07,3844
2019-08,3769
2019-09,3715
2019-10,3950
2019-11,3905
2019-12,3906
2020-01,3852
2020-02,3593
2020-03,3828
2020-04,3350
2020-05,3059
2020-06,3081
2020-07,3212
2020-08,3334
2020-09,3906
2020-10,3594
2020-11,3459
2020-12,3588
2021-01,3519
2021-02,3281
2021-03,3754
2021-04,3523
2021-05,3493
2021-06,3456
2021-07,3512
2021-08,3444
2021-09,3366
2021-10,3442
2021-11,3490
2021-12,3627
2022-01,3556
2022-02,3182
2022-03,3711
2022-04,3536
2022-05,3624
2022-06,3647
2022-07,3729
2022-08,3694
2022-09,3593
2022-10,3589
2022-11,3603
2022-12,3760
2023-01,3629
2023-02,3424
2023-03,3851
2023-04,3626
2023-05,3836
2023-06,3640
2023-07,3790
2023-08,3679
2023-09,3737
2023-10,3837
2023-11,3825
2023-12,3872
2024-01,3936
2024-02,3545
2024-03,3859
2024-04,3680
2024-05,3904
2024-06,3579
2024-07,3903
2024-08,3851
2024-09,3738
2024-10,3901
2024-11,3788
2024-12,3807
2025-01,3756
2025-02,3505
